bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
AP,Centropomus undecimalis_A,2016.0,0.007803504382694875,0.0,4.712261100661156e-06,0.0,5.832913929637584e-09,0.0,1656,
AP,Centropomus undecimalis_A,2017.0,0.051816057893819045,0.0,3.128989003249942e-05,0.0,8.025577535875072e-09,0.0,1656,
AP,Centropomus undecimalis_A,2018.0,0.031923084371761626,0.0,1.9277224862174896e-05,0.0,1.5991341939525228e-07,0.0,1656,
AP,Centropomus undecimalis_A,2019.0,0.009523900071544548,0.0,5.7511473861983984e-06,0.0,1.1836291502476117e-08,0.0,1656,
AP,Centropomus undecimalis_A,,0.0013359774957183964,0.0,9.680996345785481e-07,0.0,2.0761890873188804e-08,0.0,1380,1.0
AP,Centropomus undecimalis_A,,0.00253618673335466,0.0,1.8378164734454059e-06,0.0,1.7536453178479405e-08,0.0,1380,2.0
AP,Centropomus undecimalis_A,,0.002388090073780635,0.0,1.7305000534642283e-06,0.0,2.8061610812812887e-08,0.0,1380,3.0
AP,Centropomus undecimalis_A,,0.002369036111388098,0.0,1.7166928343392016e-06,0.0,3.17639887725818e-08,0.0,1380,4.0
AP,Centropomus undecimalis_A,,0.01934798129861768,0.0,1.4020276303346144e-05,0.0,3.819271832128379e-08,0.0,1380,5.0
AP,Centropomus undecimalis_A,,0.00687977383938479,0.0,4.985343361873036e-06,0.0,2.004771548769213e-08,0.0,1380,6.0
AP,Centropomus undecimalis_A,,0.03125940405202397,0.0,2.2651742066684038e-05,0.0,3.0880032753088926e-08,0.0,1380,7.0
AP,Centropomus undecimalis_A,,0.038314588813786785,0.0,2.7764194792599118e-05,0.0,2.0878617945641054e-08,0.0,1380,8.0
AP,Centropomus undecimalis_A,,0.007518232878113716,0.0,5.447994839212838e-06,0.0,2.199793058821342e-08,0.0,1380,9.0
AP,Centropomus undecimalis_A,,0.01717960263340093,0.0,1.2448987415507921e-05,0.0,3.2806319438805076e-08,0.0,1380,10.0
AP,Centropomus undecimalis_A,,0.001558355359550374,0.0,1.1292430141669378e-06,0.0,8.749483360048771e-09,0.0,1380,11.0
AP,Centropomus undecimalis_A,,0.009241472365893549,0.0,6.696719105719963e-06,0.0,1.0358010449351696e-08,0.0,1380,12.0
AP,Centropomus undecimalis_SA,2010.0,8.983445520864402e-07,0.0,5.424785942550968e-10,0.0,0.0,0.0,1656,
AP,Centropomus undecimalis_SA,2011.0,1.1680590359163093e-06,0.0,7.053496593697519e-10,0.0,4.564533646889135e-11,0.0,1656,
AP,Centropomus undecimalis_SA,2012.0,1.9385253396523126e-06,0.0,1.1706070891620245e-09,0.0,8.947407537096552e-10,0.0,1656,
AP,Centropomus undecimalis_SA,2013.0,7.183471067322527e-07,0.0,4.3378448474169853e-10,0.0,1.2782672142996887e-10,0.0,1656,
AP,Centropomus undecimalis_SA,2014.0,6.92018630395192e-07,0.0,4.1788564637390825e-10,0.0,1.3639345902705102e-10,0.0,1656,
AP,Centropomus undecimalis_SA,2015.0,1.0593252564269161e-06,0.0,6.396891645090073e-10,0.0,2.2994070189574778e-11,0.0,1656,
AP,Centropomus undecimalis_SA,2016.0,1.6815402448642996e-08,0.0,1.0154228531789249e-11,0.0,5.123200691806162e-12,0.0,1656,
AP,Centropomus undecimalis_SA,2017.0,6.360973844856309e-08,0.0,3.8411677807103315e-11,0.0,2.494067371247924e-13,0.0,1656,
AP,Centropomus undecimalis_SA,2018.0,5.818082558988608e-06,0.0,3.513334878616309e-09,0.0,3.517420382737057e-10,0.0,1656,
AP,Centropomus undecimalis_SA,2019.0,3.732271875632053e-06,0.0,2.253787364512109e-09,0.0,0.0,0.0,1656,
AP,Centropomus undecimalis_SA,,6.298488740741732e-07,0.0,4.564122275899806e-10,0.0,3.403698503601227e-11,0.0,1380,1.0
AP,Centropomus undecimalis_SA,,3.8741746510509776e-07,0.0,2.8073729355441864e-10,0.0,2.642831700011561e-11,0.0,1380,2.0
AP,Centropomus undecimalis_SA,,5.553478383752738e-07,0.0,4.0242596983715493e-10,0.0,2.3791068941292348e-11,0.0,1380,3.0
AP,Centropomus undecimalis_SA,,3.9896449227788775e-07,0.0,2.8910470454919405e-10,0.0,4.002814746328908e-11,0.0,1380,4.0
AP,Centropomus undecimalis_SA,,4.17277570494151e-07,0.0,3.023750510827181e-10,0.0,4.614847393114019e-11,0.0,1380,5.0
AP,Centropomus undecimalis_SA,,1.2035612232377415e-06,0.0,8.721458139403924e-10,0.0,3.6233223019155325e-11,0.0,1380,6.0
AP,Centropomus undecimalis_SA,,4.689300005354485e-06,0.0,3.3980434821409314e-09,0.0,1.7399808156792762e-11,0.0,1380,7.0
AP,Centropomus undecimalis_SA,,4.772359462959608e-06,0.0,3.4582314948982664e-09,0.0,3.8953378717065945e-11,0.0,1380,8.0
AP,Centropomus undecimalis_SA,,1.717705789346635e-06,0.0,1.2447143401062572e-09,0.0,2.0554908469749833e-11,0.0,1380,9.0
AP,Centropomus undecimalis_SA,,4.736615589451086e-07,0.0,3.432330137283396e-10,0.0,2.3808965216032263e-11,0.0,1380,10.0
AP,Centropomus undecimalis_SA,,3.97258968683004e-07,0.0,2.878688178862348e-10,0.0,2.7203793905028473e-11,0.0,1380,11.0
AP,Centropomus undecimalis_SA,,4.6269624787412516e-07,0.0,3.3528713614067043e-10,0.0,2.7056904459976657e-11,0.0,1380,12.0
AP,Cynoscion nebulosus_A,2010.0,38.783363297215686,167.00000627141154,0.023419905372714787,0.10084541441510358,1.4576233297702856e-05,0.0,1656,
AP,Cynoscion nebulosus_A,2011.0,27.759654989210574,115.00000304974444,0.016763076684305902,0.06944444628607756,2.29502427373518e-06,0.0,1656,
AP,Cynoscion nebulosus_A,2012.0,29.71221843069166,148.00000455648745,0.01794216088809883,0.08937198342783059,4.883851261183736e-06,0.0,1656,
