bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
TB,Archosargus probatocephalus_A,2021.0,896.4091798090667,453.0000158473192,0.3791917004268472,0.19162437218583722,0.10879828780889506,0.0,2364,
TB,Archosargus probatocephalus_A,2022.0,760.2195380023186,296.00000878237955,0.32158186886730905,0.1252115096372164,0.0612673889845609,0.0,2364,
TB,Archosargus probatocephalus_A,2023.0,750.2683710132842,249.00000636419708,0.31737240736602546,0.10532995193070942,0.10458063334226606,0.0,2364,
TB,Archosargus probatocephalus_A,2024.0,514.2105455110213,212.00000570483914,0.2175171512313965,0.08967851341152248,0.07780434936285016,0.0,2364,
TB,Archosargus probatocephalus_A,,1082.5606813527008,656.0000139401388,0.36934857773889485,0.22381440257254823,0.0897644907236099,0.0,2931,1.0
TB,Archosargus probatocephalus_A,,1151.6274267445333,536.0000160200725,0.3929128033928807,0.18287274514502644,0.099401831626892,0.0,2931,2.0
TB,Archosargus probatocephalus_A,,797.5952334399772,454.00000729273177,0.27212392816102937,0.1548959424403725,0.0844021737575531,0.0,2931,3.0
TB,Archosargus probatocephalus_A,,846.8919088720722,377.00001221999514,0.2889429917680219,0.1286250468167844,0.0829960778355598,0.0,2931,4.0
TB,Archosargus probatocephalus_A,,855.8217777150057,419.0000078911262,0.29198968874616366,0.1429546256878629,0.1117947772145271,0.0,2931,5.0
TB,Archosargus probatocephalus_A,,920.3187379214287,499.00001439914166,0.31399479287663895,0.17024906666637382,0.1049935445189476,0.0,2931,6.0
TB,Archosargus probatocephalus_A,,1013.2758759861663,430.00000725281177,0.3457099542770953,0.14670761079932165,0.1018620058894157,0.0,2931,7.0
TB,Archosargus probatocephalus_A,,788.5703289546145,451.00001274181443,0.2690448068763612,0.1538724028460643,0.0904399678111076,0.0,2931,8.0
TB,Archosargus probatocephalus_A,,926.1305195836394,483.0000141312062,0.31597765935982236,0.16479017882333888,0.1060073301196098,0.0,2931,9.0
TB,Archosargus probatocephalus_A,,1264.9749831864647,505.00001275840805,0.4315847776139422,0.17229614901344525,0.1519308090209961,0.0,2931,10.0
TB,Archosargus probatocephalus_A,,970.7075114970048,564.0000101312055,0.33118645905731997,0.192425796701196,0.1415499597787857,0.0,2931,11.0
